,1
0,2.30403059891
1,2.30340882938
2,2.3034503205
3,2.3035049489
4,2.30343361916
5,2.30345378601
6,2.30353532979
7,2.30340659059
8,2.3034364142
9,2.30360348513
10,2.30341939487
11,2.30343852152
12,2.30338927384
13,2.30345502535
14,2.30340370403
15,2.30340532621
16,2.30333178185
17,2.30338674872
18,2.30312059111
19,2.30337042694
